Civic Laboratory for Environmental Action Research (CLEAR);https://civiclaboratory.nl/;Research Labs;Environmental Research Labs;
Department of Seaweed: Julia Lohmann | Violaine Buet | Jon Lister | Florian Andrews;https://www.julialohmann.co.uk/work/gallery/department-of-seaweed/0;Algea/Seaweed;;
(potential) free licenses to work with CRISPR-Cas technology;https://www.nwo.nl/en/news/nwo-proud-free-licenses-bring-solution-world-food-problem-closer;Open Source;Crispr, plants,;
Variability of approaches to arborsculptures;https://www.researchgate.net/figure/Arborsculpture-shaping-methods_fig1_337871535;Aborsculpture;open source access;
AzoM Materials;https://www.azom.com;Open Access Research;;
Reef Design Lab;https://www.reefdesignlab.com/projects-1;Water;;
The Tissue Culture & Art Project;https://www.researchgate.net/publication/255627628_Growing_Semi-Living_Sculptures_The_Tissue_Culture_Art_Project;Artist, Designers & Studios;;
Tidal Kites;https://www.bbc.com/news/business-59401199;Energy;hydro-electric power, robotics, automation;
Ammonia- Nitrogen Energy Innovation- University of Wisconsin;https://news.wisc.edu/chemists-discover-new-way-to-harness-energy-from-ammonia/;Energy;Carbon neutral fuels, Energy, Ammonia;Carbon Neutral Fuels
Engineered Arts;https://www.engineeredarts.co.uk/;Robotics;;
AlphaFold2, Google DeepMind’s artificial-intelligence (AI) system;https://www.nature.com/articles/d41586-021-03499-y?utm_source=twt_nat&utm_medium=social&utm_campaign=nature;Artificial intelligence;AI deep learning, biology;
Nanoracks;https://nanoracks.com/our-vision/;Space;;
Sourcing Journal;https://sourcingjournal.com/tag/recycled-polyester/;Fashion;fashion blogs;
Australian Research Council in the School of Agriculture;https://phys.org/news/2015-10-tequila-biofuel.html;Biofueul;agrave, biofuel;
Chucks;https://www.case.rpi.edu/research/chunks;Exhibitions;Advance Composites Exhibitions;
Terrazzo;https://en.wikipedia.org/wiki/Terrazzo;Natural, Traditional & Handcrafted;;** check out other method Roman Concrete
Fiber Battery- MIT;https://www.materialstoday.com/energy/news/worlds-longest-flexible-fiber-battery/;Battery;fiber battery;
Dai Maker Lab;https://www.dai.com/our-work/solutions/dai-maker-lab;Research Labs;;
(potential) free licenses to work with CRISPR-Cas technology;https://www.nwo.nl/en/news/nwo-proud-free-licenses-bring-solution-world-food-problem-closer;Open Source;Crispr, plants,;
Interactive Architecture Lab;http://www.interactivearchitecture.org/lab-projects;Research Labs;Behaviour and Interaction of Things, Environments;
Berkeley Engineering;https://engineering.berkeley.edu/news/2019/12/sustainable-sand-gives-pollution-a-one-two-punch/;Mineral-coated Sand;;
Chucks;https://www.case.rpi.edu/research/chunks;Exhibitions;Advance Composites Exhibitions;
GT2P Get things to People;https://www.gt2p.com/;Artists, Designers & Studio;;
INTECHOPEN;https://www.intechopen.com/books;Open Acess Research;;
SupplyFrame Design Lab;https://prize.supplyframe.com/;Research Lab;;New category needed (prize?)
Phys Org;https://phys.org/;Blogs & other Resources;learning;Online Resources
Carbon 8 systems;https://c8s.co.uk/;Carbon;;
Jason deCaires Taylor;https://www.underwatersculpture.com/?doing_wp_cron=1641589731.5504388809204101562500;Artists, Designers & Studios;;
Future Art Eco systems;https://futureartecosystems.org/;Open Access Research;;
Light-emitting plants- Strano Research Group MIT;https://news.mit.edu/2021/glowing-plants-nanoparticles-0917;Plant nanobionics;light-emitting plants;
The Ocean Clean Up;https://theoceancleanup.com/;Recycle;recycle, circular ecnomy;Water
WYSS Institute;https://wyss.harvard.edu/;Research Labs;;
Cambridge University Press;https://www.cambridge.org/core/what-we-publish/open-access;Open Access Research;;
Enapter;https://www.enapter.com/about;Hydrogen;;
Warka Water;https://www.warkawater.org/;Water;;Also in traditional, indigineous techniques
San Van Akan Tree of  40 Fruit;https://www.samvanaken.com/tree-of-40-fruit-1;Artists, Designers & Studios;;
Studio Nienke Hoogvliet;https://www.nienkehoogvliet.nl/#projects;Algea/Seaweed;;
Department of Seaweed: Julia Lohmann | Violaine Buet | Jon Lister | Florian Andrews;https://www.julialohmann.co.uk/;Artist, Designers & Studios;;twice entered
Amy Congdon;http://www.amycongdon.com/;Fashion, (Textiles & Manufacturing);;
AIREAL Material Library;https://aireal-materials.com/;Carbon;library, artists, carbon, circular economy;
Addias;https://www.adidas-group.com/en/media/news-archive/press-releases/2019/adidas-unlocks-circular-future-sports-futurecraftloop/;Fashion;;
Terrazzo;https://en.wikipedia.org/wiki/Terrazzo;Natural, Traditional & Handcrafted;;** check out other method Roman Concrete
Nature Communications;https://www.nature.com/ncomms/;Open Access Research;;
Gen Space;https://www.genspace.org/;Educational;community biolabs, educational;
Modern Meadow;https://www.modernmeadow.com/;Fashion & Manufacturing;;
Biodegradable batteries- Nanyan technological University Sigapore;https://www.ntu.edu.sg/news/detail/batteries-of-the-future-could-be-paper-thin-and-biodegradable;Battery;Biodegrable batteries;
Smart food packaging -Nanyan technological University Sigapore;https://www.ntu.edu.sg/news/detail/bacteria-killing-food-packaging-that-keeps-food-fresh;Food;biotech, antibacterial film;Nanyan technological University Sigapore
MIT Emergency Ventilator Project;https://emergency-vent.mit.edu/;Open Source;;
Smithsonian Open Access Media;https://www.si.edu/openaccess;Open Access Research;;
Carbon 4 Pur;https://www.carbon4pur.eu/;Carbon;;
Synthetic biology and mass production: Yasaman Sheri ;https://www.youtube.com/watch?v=SPdHxdSSbvQ;Fashion, Textiles & Manufacturing;;
MIT media Lab Research;https://www.media.mit.edu/research/?filter=groups;Research Labs;;
Trans Natural Culture;http://transnatural.org/;Exhibitions;;
Biodesintegration of metal scrap -Rudanc Biotec Nadac Reales;https://www.rudanacbiotec.com/en/;Metal;BioTech, Metal;***
The ODIN, Josiah Zayner;https://www.the-odin.com/beginner-kits-classes/;Learning & Education;;
AI-designed Xenobots ;https://www.uvm.edu/news/story/team-builds-first-living-robots;Living Robotics;self-replicating living robots;
Super Jelly- University of Cambridge;https://www.cam.ac.uk/research/news/super-jelly-can-survive-being-run-over-by-a-car;Soft Materials;;
AlphaFold2, Google DeepMind’s artificial-intelligence (AI) system;https://www.nature.com/articles/d41586-021-03499-y?utm_source=twt_nat&utm_medium=social&utm_campaign=nature;Artificial intelligence;AI deep learning, biology;
Cement Sustianabitlty Initative;https://www.wbcsd.org/Sector-Projects/Cement-Sustainability-Initiative/Cement-Sustainability-Initiative-CSI;Cement;;Intiatives category?
Mosaiculture;https://www.mosaiculture.ca/en;Horticulture Art;;
Smithsonian Conservation Commons;https://movementoflife.si.edu/analytical-tools/;Conservation & Technology;open source;
Building Organs;https://www.newscientist.com/article/mg22029440-800-grow-your-own-organs-as-a-tissue-engineer/;BioEngineering;;
Marco Cruz ;http://marcoscruzarchitect.blogspot.com/2017/10/bioreceptive-concrete-facades-design.html;Cement;bioreceptive panels;Concrete - Change names
Biocrete;https://www.concretecentre.com/Specification/Innovative-concrete/Bioreceptive-Concrete.aspx;Cement;;
Open Library;https://openlibrary.org/;Open Access Research;;
Aborsmith Studios;http://www.arborsmith.com/about;Arborsculpture;;
Supplyframe DesignLab;https://supplyframe.com/designlab/;Research Labs;;
SolShare;https://me-solshare.com/what-we-do/;Solar;;
Studio Nienke Hoogvliet;https://www.nienkehoogvliet.nl/#projects;Algea/Seaweed;;
Faber Futures Lab;https://faberfutures.com/projects/;Research Labs;;
Serpentine;https://www.serpentinegalleries.org/;Exhibitions & Cultural Centers;;
Resilient Materials 4 Life: University of Bath;https://rm4l.com/;Self Healing Materials;Self Healing Materials;
Terrazzo;https://en.wikipedia.org/wiki/Terrazzo;Natural, Traditional & Handcrafted;;** check out other method Roman Concrete
HRE AFTA Studio;https://www.hreafta.com/journal/article/aquafaba-biomaterials-by-paula-nerlich;BioPlastics;;
SymbioticA University of Western Australia;https://www.symbiotica.uwa.edu.au/research;Research Labs;education;
AI bill of rights;https://www.federalregister.gov/documents/2021/10/08/2021-21975/notice-of-request-for-information-rfi-on-public-and-private-sector-uses-of-biometric-technologies;Policy;policy, AI biometric technology;Tech and Policy
Algae labs Studio Klarenbeck and Dros;https://www.ericklarenbeek.com/;Algae/Seaweed;;
Graviky Labs;https://www.graviky.com/;Carbon based projects;;
MIT and Commonwealth Fusion Systems (CFS). Fusion design;https://news.mit.edu/2021/MIT-CFS-major-advance-toward-fusion-energy-0908;Energy;Fusion Energy;
Synthetic Ecologies Lab;https://synthecologies.online/;Research Labs;;
Terrazzo;https://en.wikipedia.org/wiki/Terrazzo;Natural, Traditional & Handcrafted;;** check out other method Roman Concrete
Textiles Furture Research;http://www.tfrc.org.uk/projects;Textiles, Research;;
Terrazzo;https://en.wikipedia.org/wiki/Terrazzo;Natural, Traditional & Handcrafted;;** check out other method Roman Concrete
Biology and Built Environment (BioBE) Center;https://biobe.uoregon.edu/;Research Labs;education;
MIT and Commonwealth Fusion Systems (CFS). Fusion design;https://news.mit.edu/2021/MIT-CFS-major-advance-toward-fusion-energy-0908;Energy;Fusion Energy;
Terrazzo;https://en.wikipedia.org/wiki/Terrazzo;Natural, Traditional & Handcrafted;;** check out other method Roman Concrete
Andre Ling;http://andreasling.com/work;Artists, Designers & Studios;;
Artifical Reefs;https://www.sciencedirect.com/science/article/abs/pii/S0964569101000485;Water;;
Axel Erlandson;https://en.wikipedia.org/wiki/Axel_Erlandson;Aborsculpture;***;atural, technique , permaculture, aborsculpture
Havard Biodesign Lab;https://biodesign.seas.harvard.edu/soft-robotics;Robotics;;
BioColour;https://biocolour.fi/en/about-the-project/;Pigments & Dyes;;
Climeworks;https://climeworks.com/co2-removal;Carbon;carbon removal technologies;
AlphaFold2, Google DeepMind’s artificial-intelligence (AI) system;https://www.nature.com/articles/d41586-021-03499-y?utm_source=twt_nat&utm_medium=social&utm_campaign=nature;Artificial intelligence;AI deep learning, biology;
Computers trying to be human 'neuromorphic' tech;https://www.zdnet.com/article/intel-is-teaching-a-computer-chip-to-smell/;BioMaterial & Tech;;
Wearable Heat Camouflage;https://ucsdnews.ucsd.edu/pressrelease/wearableheatcamouflage;BioMaterial & Tech;thermoelectric alloys;
Alexandrea Kehayoglou;https://alexandrakehayoglou.com/;Artists, Designers & Studios;;
Terrazzo;https://en.wikipedia.org/wiki/Terrazzo;Natural, Traditional & Handcrafted;;** check out other method Roman Concrete
Pete and Sue Hill;https://peteandsuehill.co.uk/explore/;Natural, Traditional & Handcrafted;;
Center for Circular Design;https://www.circulardesign.org.uk/research/;Fashion, Circular Design;;**
DnA Design & Architecture:Bamboo theatre Xutiantian;http://www.designandarchitecture.net/project/1526017907;Organic Architecture & Other;;
Arkenlight;https://www.arkenlight.co.uk/;Battery;radiovoltaic technology;
Biology and Built Environment (BioBE) Center;https://biobe.uoregon.edu/;Research Labs;education;
Charlotte Mccurby;https://www.charlottemccurdy.com/;Fashion;Fashion, algea;
Terrazzo;https://en.wikipedia.org/wiki/Terrazzo;Natural, Traditional & Handcrafted;;** check out other method Roman Concrete
The Breakdown Economy;https://deafbreekeconomie.boijmans.nl/en/#;Exhibitions;;
Biodesigned;https://www.biodesigned.org/;Blogs & other online resources;;
Neri OxmanThe medicated Matter Group;https://oxman.com/projects;Artists, Designer & Studios;;
Infinited Fiber;https://infinitedfiber.com/about-infinna/fashion/;Fashion;;
Singapore CEA Alliance for Research in Circular Economy (SCARCE)  ;https://www.ntu.edu.sg/scarce;Research Labs;;
Terrazzo;https://en.wikipedia.org/wiki/Terrazzo;Natural, Traditional & Handcrafted;;** check out other method Roman Concrete
The Tree Circus;http://www.markprimack.com/pages/tree_circus/tree_circus.html;Aborsculpture;;
Hiroshi Sambuichi;https://jp.toto.com/gallerma/ex160415/index_e.htm;Exhibition;exhibition, architecture and nature;
Biology and Built Environment (BioBE) Center;https://biobe.uoregon.edu/;Research Labs;education;
Atelier luma;https://www.atelier-luma.org/;Algea/Seaweed;;
Journal of Materials Today;https://www.materialstoday.com/;Blogs & other Resources;;**
Inekehas Studio;https://www.inekehans.com/studio/work/sustainable;Artists, Designer & Studios;;
Nomaco;https://www.nomaco.com/technology/;Foam;;Re-enter this one under a different catagory
3D Heals;https://3dheals.com/blog/;Blogs & other resources;Bioprinting, 3dprinting, Blog;
Mischer Traxler Studio;https://mischertraxler.com/;Artists, Designers & Studios;Handcraft & technology;
(potential) free licenses to work with CRISPR-Cas technology;https://www.nwo.nl/en/news/nwo-proud-free-licenses-bring-solution-world-food-problem-closer;Open Source;Crispr, plants,;
Biology and Built Environment (BioBE) Center;https://biobe.uoregon.edu/;Research Labs;education;
Library Genisis;https://libgen.is/;Open Access Research;Shadow Libraries;
Hyperelastic “Bone”;https://www.researchgate.net/publication/308928696_Hyperelastic_Bone_A_Highly_Versatile_Growth_Factor-Free_Osteoregenerative_Scalable_and_Surgically_Friendly_Biomaterial;BioMedical;;
Budapest initative;https://www.budapestopenaccessinitiative.org/read/;Open Access Research;;
Solar Water Solutions;https://solarwatersolutions.fi/en/;Water;sustainable desalination, renewable engery, solar-powered water purification.;sustainable desalination
Design and 3D Printing of Scaffolds and Tissues;https://www.sciencedirect.com/science/article/pii/S2095809916300716;Biomedical;;two categories 3d printing and bio medical
Dr Devesh Mistry from the School of Physics and Astronomy.;https://www.leeds.ac.uk/news/article/4334/new_material_that_thickens_as_its_pulled;Auxetic material / New Material Properties;;
Terrazzo;https://en.wikipedia.org/wiki/Terrazzo;Natural, Traditional & Handcrafted;;** check out other method Roman Concrete
Adidas Innovation Team;https://www.adidas.com/us/blog/373504-what-is-boost;Fashion;;
Open-Architecture Ventilator Design;https://simulation.health.ufl.edu/technology-development/open-source-ventilator-project/;Open Source;;
Jason deCaires Taylor;https://www.underwatersculpture.com/environment/environment-current-crisis/?doing_wp_cron=1654073086.6927869319915771484375;Water;Artists, water;
Yeadon Space Agency;https://www.yeadonspaceagency.com/projects/;Artists, Designers & Studios;;
Project Coelicator: Faber Futures LAB;https://faberfutures.com/projects/project-coelicolor/;Pigments and dyes;;
Ginkgo Bioworks;https://www.ginkgobioworks.com/;Research Labs;;
Origami Organs Wyss Institue;https://wyss.harvard.edu/media-post/origami-organs/;Biomedical;;
Nanyan technological University Sigapore;https://www.ntu.edu.sg/news/detail/energy-saving-glass-self-adapts-to-heating-and-cooling-demand;Glass;self-adaptive glass,;
Silk;https://phys.org/news/2022-01-sustainable-silk-material-biomedical-optical.html;Natural;Fibers, silk,;
Nature—Cooper Hewitt Design Triennial;https://collection.cooperhewitt.org/exhibitions/2318794480/;Exhibitions & Cultural Centers;;
